Name,Project
John,metaverse
Karla,modular farms
Ivy,short film
Preston,grow yt channel
Ella,eco-friendly products
Liam,mobile app
Mia,community garden
Noah,fitness blog
Ava,virtual reality game
Oliver,language learning app
Sophia,sustainable fashion line
Ethan,podcast series
Isabella,artificial intelligence research
Aiden,home automation system
Emma,online art gallery
Lucas,travel vlog
Olivia,wellness app
Jackson,cryptocurrency project
Avery,local charity initiative
Liam,educational platform
Harper,green energy startup
Michael,food delivery service
Camila,social networking app
William,smart home devices
Evelyn,children's book series